window_begin_s,window_end_s,field,current_windows_value,step_aggregation_method,step_aggregate_value,native_source,native_value,current_vs_step_numeric_match,step_vs_native_numeric_match,step_vs_native_semantics,step_vs_native_semantic_status,step_vs_native_reconciliation_status,step_vs_native_explanation,current_vs_native_numeric_match,current_vs_interval_semantics,reconciliation_status,note
0,30,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
0,30,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
0,30,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
0,30,time_s,30,30_step_rows_window_end,30,interval.end,30,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
0,30,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
0,30,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
0,30,mean_speed_mps,0.0,vehicle_exposure_weighted_across_30s_and_5_loops,33.1209244658188,5_interval_speed_weighted_by_nVehContrib,33.12,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
0,30,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,,interval.speed,,NA,NA,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NA,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
0,30,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,0,interval.nVehEntered,0,YES,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=0
0,30,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.0,interval.occupancy/100,0.0,YES,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
0,30,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.4666666666666667,interval.meanVehicleNumber,0.47,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
0,30,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
0,30,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
0,30,departed_veh,11,cumulative_sum_of_step_departures,11,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
0,30,arrived_veh,0,cumulative_sum_of_step_arrivals,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
0,30,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
30,60,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
30,60,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
30,60,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
30,60,time_s,60,30_step_rows_window_end,60,interval.end,60,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
30,60,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
30,60,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
30,60,mean_speed_mps,0.0,vehicle_exposure_weighted_across_30s_and_5_loops,31.98624512118074,5_interval_speed_weighted_by_nVehContrib,31.988333333333333,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
30,60,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,,interval.speed,,NA,NA,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NA,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
